index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
1999,407-2234401-7446716,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-M,Western Dress,M,B099NQQ79L,Shipped,1,INR,744.0,BENGALURU,KARNATAKA,560043.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2000,407-2234401-7446716,04-29-22,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-L,Western Dress,L,B099NRCT7B,Shipped,1,INR,744.0,BENGALURU,KARNATAKA,560043.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2001,171-9309960-1917956,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3762,JNE3762-KR-S,kurta,S,B099FC2WTQ,Shipped,1,INR,329.0,BENGALURU,KARNATAKA,560061.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2002,171-9309960-1917956,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3635,JNE3635-KR-S,kurta,S,B08XVZ7YGN,Shipped,1,INR,345.0,BENGALURU,KARNATAKA,560061.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2003,406-4327460-9905137,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3718,JNE3718-KR-XXXL,kurta,3XL,B099NJ1WVX,Shipped,1,INR,406.0,MUMBAI,MAHARASHTRA,400093.0,IN,,False,,
2004,406-4643064-2945138,04-29-22,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-S,Set,S,B08XQ98B2Q,Shipped,1,INR,788.0,PUNE,MAHARASHTRA,411030.0,IN,,False,,
2005,403-8755155-3715542,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-XL,kurta,XL,B08KRTXC2Y,Shipped,1,INR,399.0,JALNA,MAHARASHTRA,431203.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2006,171-8195821-2769955,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XXXL,kurta,3XL,B082W7MZVQ,Shipped,1,INR,376.0,HUBBALLI,KARNATAKA,580030.0,IN,,False,,
2007,408-0944592-0213947,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3560,JNE3560-KR-XL,kurta,XL,B08PCSJ2M6,Shipped,1,INR,487.0,BUDAUN,UTTAR PRADESH,243601.0,IN,,False,,
2008,402-1249621-8158717,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3468,JNE3468-KR-M,kurta,M,B08RP3LHNB,Shipped,1,INR,352.0,UPPER TADONG,SIKKIM,737102.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
2009,171-3690652-9264323,04-29-22,Shipped,Amazon,Amazon.in,Expedited,SET333,SET333-KR-DPT-XS,Set,XS,B09RKDYFFP,Shipped,1,INR,967.0,MUMBAI,MAHARASHTRA,400050.0,IN,,False,,
2010,407-5465680-5166728,04-29-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XL,kurta,XL,B081WT6GG7,Shipped,1,INR,399.0,Mumbai,MAHARASHTRA,401208.0,IN,Duplicated AYTJSBA8ZOP16 1567159860988,False,,
